fi	distancia
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3872863223190889E-5	72083.1730199954
1.3990175491681433E-5	71478.731670993
1.3990175491681433E-5	71478.731670993
1.4141649609524197E-5	70713.1082732042
1.4141649609524197E-5	70713.1082732042
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4286370022611457E-5	69996.787036684
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4458153192605382E-5	69165.1268788222
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
1.4476464193338698E-5	69077.6412419924
